time_s,LoPE,LaPE,VPE,LoPL_adjusted,LaPL_adjusted,VPL_adjusted
16.10700011,0.04911397,0.04822279,0.01600000,0.78776235,0.25330962,0.83572808
16.20700002,0.03788696,0.02829767,0.01600000,0.72210241,0.22961341,0.83255489
16.30699992,0.04288418,0.03139103,0.01600000,0.75070959,0.22872367,0.83722777
16.40700006,0.04815914,0.02774269,0.01500000,0.81561339,0.22916988,0.82736545
16.50699997,0.04073986,0.02647949,0.01300000,0.75201488,0.22756608,0.82833936
16.60700011,0.02444606,0.02240558,0.00300000,0.73006196,0.22642173,0.81361679
16.70700002,0.02962899,0.02302830,0.00200000,0.74852274,0.22583657,0.79563169
16.80699992,0.02103594,0.00519031,0.01100000,0.73411756,0.20999690,0.81608233
16.90700006,0.02181173,0.00540820,0.00700000,0.74632251,0.20995586,0.81861638
17.00699997,0.04291093,0.00851538,0.01500000,0.78413841,0.21468021,0.80692840
17.10700011,0.01337453,0.00036323,0.02000000,0.74477783,0.20562662,0.81141926
17.20700002,0.01131872,0.02765441,0.01500000,0.71793140,0.22410950,0.81544646
17.30699992,0.00288501,0.01893401,0.00600000,0.70987983,0.21816888,0.77940294
17.40700006,0.00070636,0.02068819,0.00200000,0.69623606,0.20603897,0.75812338
17.50699997,0.04496297,0.00804186,0.01000000,0.72829434,0.18889512,0.75994824
17.60700011,0.04862357,0.00835756,0.01900000,0.73255365,0.18204543,0.76367253
17.70700002,0.05736924,0.01240043,0.02900000,0.74656327,0.19246511,0.77179184
17.80699992,0.05777005,0.01302427,0.03700000,0.74402076,0.19985626,0.78408494
17.90700006,0.06368003,0.01637753,0.04400000,0.73941682,0.19437442,0.80342091
18.00699997,0.05751881,0.04201138,0.00400000,0.72809144,0.21170334,0.75964847
18.10700011,0.04376457,0.04001591,0.00200000,0.74446441,0.21868799,0.77695844
18.20700002,0.04399319,0.04686640,0.03500000,0.73452458,0.22636126,0.78437377
18.30699992,0.04701962,0.05617665,0.03800000,0.72812969,0.23537581,0.81277243
18.40700006,0.04347137,0.05878452,0.02300000,0.69881792,0.23820989,0.78658000
18.50799990,0.05754817,0.06884336,0.03300000,0.72540415,0.24764165,0.79718177
18.60800004,0.05751989,0.07526296,0.04000000,0.71727393,0.24810449,0.80616175
18.70799994,0.05180352,0.07668178,0.03900000,0.71324659,0.25321074,0.78801762
18.80800009,0.04352750,0.08250435,0.03600000,0.71968664,0.25755200,0.76938961
18.90799999,0.04638382,0.09230082,0.03400000,0.72141216,0.26917314,0.76443547
19.00799990,0.05733843,0.09098079,0.04200000,0.73140763,0.26484561,0.76448484
19.10800004,0.07812476,0.09713208,0.05500000,0.75289044,0.29321940,0.75085664
19.20799994,0.08679033,0.09984192,0.08100000,0.79004240,0.29910811,0.80863688
19.30800009,0.06217612,0.11343849,0.08600000,0.77769965,0.30662157,0.82453787
19.40799999,0.06311286,0.11599094,0.08800000,0.73775089,0.31287190,0.80253858
19.50799990,0.07073582,0.11452320,0.09400000,0.75041719,0.31190243,0.83920259
19.60800004,0.08322129,0.11844571,0.09500000,0.78532657,0.32119893,0.83436829
19.70799994,0.09306472,0.12594665,0.10500000,0.78984639,0.33192347,0.85891043
19.80800009,0.09689142,0.13106308,0.12400000,0.78877919,0.34549493,0.87324375
19.90799999,0.10184264,0.14391986,0.12200000,0.80878089,0.37116678,0.88084975
20.00799990,0.11397961,0.15051159,0.11200000,0.82951910,0.37486119,0.87394867
20.10800004,0.12773530,0.14012756,0.10300000,0.84383867,0.34201931,0.81498873
20.20799994,0.14366334,0.14718527,0.10500000,0.89357796,0.35271193,0.80313654
20.30800009,0.13793068,0.14930441,0.12500000,0.90170672,0.35652568,0.86385109
20.40799999,0.15392712,0.14734524,0.14100000,0.93473708,0.34996022,0.87241785
20.50799990,0.16759326,0.14507198,0.14500000,0.94165687,0.35058199,0.88221180
20.60800004,0.18366519,0.13310127,0.14600000,0.93568201,0.33845892,0.89027143
20.70799994,0.19729896,0.12807003,0.13600000,0.96104010,0.34049801,0.89203699
20.80800009,0.20809191,0.12847570,0.13700000,0.97324503,0.34158388,0.89002983
20.90799999,0.20815047,0.12131872,0.13200000,0.96278973,0.32191709,0.85794982
21.00799990,0.21424122,0.13663290,0.13400000,0.95768294,0.35420924,0.86337496
21.10899997,0.21911145,0.15339564,0.13600000,0.97470352,0.38393100,0.85818329
21.20900011,0.22587066,0.07995182,0.13900000,0.99773697,0.28751979,0.86155924
21.30900002,0.22947484,0.14172011,0.14400000,0.99194746,0.35528534,0.86807447
21.40899992,0.22363887,0.12960889,0.14200000,0.98530306,0.34432802,0.84916403
21.50900006,0.22077741,0.03959780,0.14000000,0.98551766,0.25142774,0.85729309
21.60899997,0.23158469,0.09788938,0.13200000,0.99937796,0.30047038,0.84397807
21.70900011,0.24932172,0.06264226,0.12700000,1.02391937,0.27618391,0.81330066
21.80900002,0.27069746,0.13877999,0.12500000,1.05633397,0.35593001,0.80967352
21.90899992,0.28412869,0.14827005,0.13000000,1.04288879,0.37331878,0.81995914
22.00900006,0.31184150,0.08502194,0.11600000,1.05287111,0.30124088,0.82087041
22.10899997,0.34336305,0.12651986,0.08900000,1.05789566,0.35641167,0.81433017
22.20900011,0.36205182,0.04623645,0.07300000,1.08637321,0.27342168,0.83007760
22.30900002,0.37538159,0.12113659,0.07600000,1.15945019,0.33727316,0.79823410
22.40899992,0.39155319,0.15137726,0.08600000,1.17022195,0.38773232,0.80096462
22.50900006,0.35892618,0.07552091,0.13600000,1.09768053,0.30490304,0.86136213
22.60899997,0.36434514,0.12967401,0.14300000,1.09362867,0.36732691,0.86374587
22.70900011,0.37495452,0.09818599,0.16600000,1.08386387,0.32479716,0.85897556
22.80900002,0.37534417,0.16703773,0.16900000,1.08911444,0.41847460,0.85782747
22.90899992,0.38625013,0.16946459,0.16900000,1.07054133,0.42599642,0.88556075
23.00900006,0.39559384,0.10413338,0.16800000,1.07758523,0.32547710,0.86010134
23.10899997,0.41252251,0.16622677,0.16400000,1.07129006,0.43119367,0.83437809
23.20900011,0.42481482,0.08845296,0.16800000,1.07620018,0.31990771,0.84669322
23.30900002,0.42062405,0.12519932,0.17210000,1.08554731,0.36632778,0.87198246
23.40899992,0.37696334,0.10249273,0.17900000,1.04833869,0.33198750,0.83672515
23.50900006,0.37995352,0.02674697,0.18400000,1.01472393,0.26649310,0.87597960
23.60899997,0.38419478,0.10386349,0.19200000,1.01408095,0.33135769,0.86173980
23.71000004,0.40126333,0.04840329,0.20600000,1.06020847,0.28231587,0.87207275
23.80999994,0.43206883,0.04915905,0.22600000,1.06062137,0.27430923,0.88763026
23.91000009,0.45028170,0.05810300,0.23300000,1.05322309,0.27693977,0.89726631
24.00999999,0.44487215,0.07733967,0.23600000,1.05452509,0.28631003,0.91230834
24.11000013,0.43871029,0.08383723,0.24300000,1.07735159,0.29391863,0.87878115
24.21000004,0.44280812,0.06201760,0.24900000,1.09683844,0.27608224,0.89746692
24.30999994,0.44550362,0.05577072,0.25800000,1.09034077,0.27183774,0.88938896
24.41000009,0.44914335,0.05756997,0.26700000,1.08880635,0.27062113,0.90175290
24.50999999,0.44985859,0.07212141,0.27300000,1.09456456,0.28747555,0.90097018
24.61000013,0.46469719,0.06888957,0.27800000,1.14857365,0.28183580,0.91774278
24.71000004,0.47345863,0.09745833,0.29100000,1.13625842,0.30153729,0.93604881
24.80999994,0.48171497,0.08766156,0.30100000,1.15854591,0.29811713,0.97195504
24.91000009,0.49046603,0.05417207,0.29400000,1.15856163,0.27176130,1.00057804
25.00999999,0.49141849,0.02065706,0.28200000,1.16419942,0.24151595,0.98042491
25.11000013,0.51330806,0.04564620,0.28600000,1.18569480,0.25112846,0.97185677
25.21000004,0.53317324,0.12222335,0.30800000,1.22760305,0.48696921,0.98661693
25.30999994,0.53949844,0.10783730,0.31500000,1.21910464,0.48741526,0.97316323
25.41000009,0.55928525,0.12366916,0.32300000,1.22278868,0.48649195,0.98134465
25.50999999,0.54391146,0.07385696,0.30400000,1.19866429,0.45578693,0.96461234
25.61000013,0.52694923,0.01467939,0.28100000,1.21538077,0.39848830,0.95177516
25.71000004,0.52129877,0.01677838,0.26300000,1.21243681,0.41077469,0.95042598
25.80999994,0.55743546,0.06760276,0.27600000,1.24794865,0.43946843,0.99220957
25.91000009,0.54718717,0.09366995,0.38400000,1.22676626,0.45679599,1.12201029
26.00999999,0.54788677,0.10030485,0.40500000,1.25067990,0.46099952,1.08347625
26.11000013,0.54647408,0.09585017,0.40700000,1.24590702,0.46187910,1.09657814
26.21000004,0.54081721,0.11735603,0.40800000,1.27345705,0.48206567,1.09405824
26.30999994,0.50687395,0.14574790,0.33600000,1.21737806,0.53983487,1.01655054
26.41100001,0.52197487,0.16324716,0.34200000,1.19680901,0.54704278,1.02150142
26.51099992,0.52425942,0.11304718,0.31900000,1.18645094,0.47823742,1.01498944
26.61100006,0.53777018,0.09569476,0.32800000,1.22037559,0.46439574,0.99557444
26.71099997,0.54609966,0.06255883,0.30600000,1.22108042,0.45049652,1.00525791
26.81100011,0.54076883,0.04733421,0.30500000,1.21326025,0.45034379,0.99007739
26.91100001,0.55484042,0.05788979,0.31100000,1.23040830,0.55623714,0.99066067
27.01099992,0.55855023,0.02300223,0.31200000,1.26115844,0.49811550,1.01739449
27.11100006,0.54040560,0.03062141,0.30000000,1.21857656,0.52323595,0.99180789
27.21099997,0.53251748,0.06489032,0.31000000,1.20691087,0.51942813,1.02247364
27.31100011,0.51552407,0.10532382,0.32400000,1.14849136,0.56068311,1.01700505
27.41100001,0.50909924,0.12480921,0.32200000,1.15373335,0.57200854,1.02627020
27.51099992,0.53145645,0.12276702,0.33700000,1.23196785,0.62241890,1.03946790
27.61100006,0.55314072,0.10859151,0.34800000,1.25643297,0.53745751,1.09172533
27.71099997,0.58341240,0.04741235,0.34700000,1.28925189,0.45125854,1.08585019
27.81100011,0.61019002,0.05907415,0.33800000,1.35292904,0.49599707,1.03386664
27.91100001,0.62079482,0.09258447,0.32900000,1.34755476,0.53045718,1.00513524
28.01099992,0.58463713,0.10725634,0.31100000,1.29560820,0.54626547,0.97713426
28.11100006,0.47933344,0.16465945,0.32600000,1.10949851,0.62678313,0.99053475
28.21099997,0.46544387,0.13625364,0.31800000,1.10693590,0.66090298,0.99619989
28.31100011,0.42937374,0.11335803,0.31500000,1.06877926,0.63813456,0.95374413
28.41100001,0.42943807,0.12627631,0.30600000,1.06368670,0.70202226,0.93935564
28.51099992,0.41712970,0.12207445,0.29100000,1.04496356,0.62101156,0.93805707
28.61100006,0.40014202,0.08690262,0.28700000,1.02358623,0.50938180,0.89820621
28.71099997,0.40045367,0.07953355,0.27900000,1.00881560,0.50598696,0.87158324
28.81100011,0.39282824,0.10439278,0.28100000,0.99324289,0.53951925,0.87811172
28.91100001,0.39013900,0.14311442,0.27200000,0.98423254,0.55750077,0.86949414
29.01200008,0.37156248,0.14235200,0.25600000,0.96281354,0.58646357,0.87025274
29.11199999,0.36269071,0.16411854,0.24200000,0.92202416,0.61960956,0.89547706
29.21200013,0.36043160,0.17989936,0.21800000,0.93537883,0.59460508,0.87583795
29.31200004,0.35604527,0.19679282,0.22800000,0.90649020,0.61590303,0.87699421
